,Neighborhood,Neighborhood Latitude,Neighborhood Longitude,Venue,Venue Latitude,Venue Longitude,Venue Category
61,TVS Mount Road,13.059068,80.259451,Six Degrees,13.055551811369853,80.25797415293772,Multiplex
62,TVS Mount Road,13.059068,80.259451,Pizza Hut,13.061573850564935,80.26112872790553,Pizza Place
63,TVS Mount Road,13.059068,80.259451,Jalpaan,13.05754263142485,80.25533079261477,Vegetarian / Vegan Restaurant
64,TVS Mount Road,13.059068,80.259451,Max,13.058507906333402,80.26396487975046,Clothing Store
65,TVS Mount Road,13.059068,80.259451,Sathyam Cinemas,13.055387,80.257899,Multiplex
66,TVS Mount Road,13.059068,80.259451,Baskin-Robbins,13.058673898609525,80.2639704886504,Ice Cream Shop
67,TVS Mount Road,13.059068,80.259451,Santham Elite,13.055693213963465,80.25822154072357,Multiplex
68,TVS Mount Road,13.059068,80.259451,Seasons,13.05544373619165,80.25785955067963,Multiplex
69,TVS Mount Road,13.059068,80.259451,McDonald's,13.06173,80.26219,Fast Food Restaurant
70,TVS Mount Road,13.059068,80.259451,KFC,13.061599931152552,80.2621203218954,Fast Food Restaurant
71,TVS Mount Road,13.059068,80.259451,Blûr Café,13.055486980938456,80.25781643903991,Café
72,TVS Mount Road,13.059068,80.259451,French Loaf,13.055051338743384,80.25779779440023,Bakery
73,TVS Mount Road,13.059068,80.259451,Spencer Plaza,13.061502764547154,80.2611780166626,Shopping Mall
74,TVS Mount Road,13.059068,80.259451,Dine,13.058650945672792,80.26387334906688,American Restaurant
75,TVS Mount Road,13.059068,80.259451,Victoria Technical Institute Handicrafts,13.060397054009574,80.26063331541555,Gift Shop
76,TVS Mount Road,13.059068,80.259451,Tvs,13.059657490584556,80.25993646657216,Bus Station
77,TVS Mount Road,13.059068,80.259451,Poppat Jamals,13.060464074471394,80.2618315105974,Furniture / Home Store
78,TVS Mount Road,13.059068,80.259451,Wangs Kitchen,13.054777086867453,80.25806910119131,Chinese Restaurant
79,TVS Mount Road,13.059068,80.259451,Neela Bhavan,13.05849932734084,80.25524347594862,Indian Restaurant
80,TVS Mount Road,13.059068,80.259451,Univercell,13.058726987643805,80.26401948368955,Electronics Store
81,Gemini,13.054197,80.249923,Subway,13.054786612059926,80.24961761141738,Sandwich Place
82,Gemini,13.054197,80.249923,Aqua,13.053009789283996,80.25002515534555,Pool
83,Gemini,13.054197,80.249923,Sigree Global Grill,13.053159718744602,80.2483232908972,BBQ Joint
84,Gemini,13.054197,80.249923,Sree Mithai Sweets,13.0543563612042,80.24989140747245,Bengali Restaurant
85,Gemini,13.054197,80.249923,Palmgrove Hotel,13.05316038609115,80.24788372942271,Hotel
86,Gemini,13.054197,80.249923,"Menaka, Hotel Palmgroove, Chennai",13.052833585986008,80.2492489187691,South Indian Restaurant
87,Gemini,13.054197,80.249923,The Madras Kafe,13.055178010439942,80.24956061281152,Café
88,Gemini,13.054197,80.249923,Chat On Chinese,13.055375486288638,80.24950482586954,Asian Restaurant
89,Gemini,13.054197,80.249923,601 - The park,13.053136992524127,80.24981473107475,Coffee Shop
90,Gemini,13.054197,80.249923,Star Rock,13.053180478128837,80.24819842106704,Nightclub
91,Gemini,13.054197,80.249923,Palimar,13.052770073174909,80.25063734164301,Indian Restaurant
92,Gemini,13.054197,80.249923,The Lotus,13.053110026457704,80.249821532489,Thai Restaurant
93,Gemini,13.054197,80.249923,The Park,13.053109535668314,80.25012541155624,Hotel
94,Gemini,13.054197,80.249923,Hoppipola,13.05314984362083,80.24831632646904,Lounge
95,Gemini,13.054197,80.249923,Opal Inn,13.056189934038736,80.24885303255638,Chinese Restaurant
96,Gemini,13.054197,80.249923,Cafe Coffee Day,13.055198423209518,80.24947079569363,Coffee Shop
97,Gemini,13.054197,80.249923,Pasha,13.053300569335045,80.25029613650436,Nightclub
98,Gemini,13.054197,80.249923,Domino's Pizza,13.05295850330225,80.24658378349868,Pizza Place
99,Gemini,13.054197,80.249923,Dindigul Thalappakatti,13.053834207903694,80.25012796104217,Indian Restaurant
100,Gemini,13.054197,80.249923,Anjappar Chettinad Restaurant,13.055980380274443,80.24847889386132,Indian Restaurant
101,Gemini,13.054197,80.249923,Papa John's Pizza,13.057278785516273,80.24846395064166,Pizza Place
102,Gemini,13.054197,80.249923,The Leather Bar,13.053160764278124,80.25019087084235,Bar
103,Gemini,13.054197,80.249923,Rangis Chinese Restaurant,13.053877315002897,80.25011192150947,Chinese Restaurant
104,Gemini,13.054197,80.249923,Hotel Raaj Bhavan,13.056081720465473,80.24791492244957,Restaurant
105,Gemini,13.054197,80.249923,Hotel Ranjit,13.056252716796203,80.24875434430707,Indian Restaurant
106,Gemini,13.054197,80.249923,Quiznos,13.055274745789687,80.24964639116797,Sandwich Place
107,Gemini,13.054197,80.249923,Hajiali Juice Centre,13.056840265418238,80.25351734821919,Juice Bar
108,Sun Theatre,13.049485,80.247439,Haji Ali Juice Centre,13.048414387127732,80.24579681986057,Ice Cream Shop
109,Sun Theatre,13.049485,80.247439,Palmgrove Hotel,13.05316038609115,80.24788372942271,Hotel
110,Sun Theatre,13.049485,80.247439,Sigree Global Grill,13.053159718744602,80.2483232908972,BBQ Joint
111,Sun Theatre,13.049485,80.247439,Coffee Central,13.047039821260078,80.24532359321547,Café
112,Sun Theatre,13.049485,80.247439,Aqua,13.053009789283996,80.25002515534555,Pool
113,Sun Theatre,13.049485,80.247439,Courtyard by Marriott Chennai,13.0460041,80.2478248,Hotel
114,Sun Theatre,13.049485,80.247439,"Menaka, Hotel Palmgroove, Chennai",13.052833585986008,80.2492489187691,South Indian Restaurant
115,Sun Theatre,13.049485,80.247439,Paprika Cafe,13.04594569934617,80.2480781099072,Café
116,Sun Theatre,13.049485,80.247439,Star Rock,13.053180478128837,80.24819842106704,Nightclub
117,Sun Theatre,13.049485,80.247439,Domino's Pizza,13.05295850330225,80.24658378349868,Pizza Place
118,Sun Theatre,13.049485,80.247439,601 - The park,13.053136992524127,80.24981473107475,Coffee Shop
119,Sun Theatre,13.049485,80.247439,Cafe coffee day,13.048396871968851,80.24552747038975,Café
120,Sun Theatre,13.049485,80.247439,Hoppipola,13.05314984362083,80.24831632646904,Lounge
121,Sun Theatre,13.049485,80.247439,The Lotus,13.053110026457704,80.249821532489,Thai Restaurant
122,Sun Theatre,13.049485,80.247439,The Park,13.053109535668314,80.25012541155624,Hotel
123,Sun Theatre,13.049485,80.247439,Buhari Hotel,13.04745987156988,80.24475219020295,Indian Restaurant
124,Sun Theatre,13.049485,80.247439,Rhapsody Restaurant,13.045942010059852,80.248047415523,Lounge
125,Sun Theatre,13.049485,80.247439,Paprika,13.045938482431643,80.24808333509166,Coffee Shop
126,Sun Theatre,13.049485,80.247439,"AGS Cinemas, T. Nagar",13.047375736155688,80.24486964182955,Amphitheater
127,Sun Theatre,13.049485,80.247439,Kamarajar Arangam,13.049108274575627,80.24825186654482,Concert Hall
128,Sun Theatre,13.049485,80.247439,Amma Chettinadu Restaurant,13.048094077760299,80.2446499694496,Indian Restaurant
129,Sun Theatre,13.049485,80.247439,The Accord Metropolitan Hotel Chennai,13.0461726416438,80.24642844470455,Nightclub
130,Sun Theatre,13.049485,80.247439,Shoppers Stop,13.045268613761762,80.2482851765919,Clothing Store
131,Vani Mahal,13.045062,80.24019799999998,Absolute Barbeques,13.045316956792169,80.24119691755801,BBQ Joint
132,Vani Mahal,13.045062,80.24019799999998,Manyavar,13.045457866520676,80.24011173767532,Clothing Store
133,Vani Mahal,13.045062,80.24019799999998,The Residency,13.04501826004944,80.24052493782268,Hotel
134,Vani Mahal,13.045062,80.24019799999998,Sangeetha Fine Dining,13.04318751736555,80.23660133417307,Vegetarian / Vegan Restaurant
135,Vani Mahal,13.045062,80.24019799999998,The Accord Metropolitan,13.046251557663075,80.24257270695247,Indian Restaurant
136,Vani Mahal,13.045062,80.24019799999998,Madras Coffee House,13.046845528335975,80.23687688605418,Coffee Shop
137,Vani Mahal,13.045062,80.24019799999998,Grand sweets & snacks,13.042389346976558,80.2407000892161,Indian Restaurant
138,Vani Mahal,13.045062,80.24019799999998,Subway,13.046858244092764,80.23599175474709,Sandwich Place
139,Vani Mahal,13.045062,80.24019799999998,Vasantha Bhavan,13.044639096033407,80.239551104462,Indian Restaurant
140,Vani Mahal,13.045062,80.24019799999998,Pothys Boutique,13.044629341824816,80.23968757940209,Boutique
141,Vani Mahal,13.045062,80.24019799999998,Quality Inn Sabari Chennai,13.047504721569908,80.2400219261701,Hotel
142,Vani Mahal,13.045062,80.24019799999998,Vani Mahal,13.043745581603593,80.23958578043343,Music Venue
143,Vani Mahal,13.045062,80.24019799999998,Benzz Park Hotel Chennai,13.046058398572072,80.23955607638045,Hotel
144,Vani Mahal,13.045062,80.24019799999998,Andhra club,13.043986346709543,80.24305776635829,Recreation Center
145,Vani Mahal,13.045062,80.24019799999998,Cafe Coffee Day,13.044602112161886,80.24055060018958,Coffee Shop
146,Vani Mahal,13.045062,80.24019799999998,Lagan,13.04567108137474,80.23980704080033,Men's Store
147,Vani Mahal,13.045062,80.24019799999998,Pakwan,13.0452385,80.2388,Indian Restaurant
148,Vani Mahal,13.045062,80.24019799999998,Watson's,13.044375090325195,80.23855213699785,Pub
149,Vani Mahal,13.045062,80.24019799999998,"cafe coffee day, bazulla road",13.046480193026486,80.23852735139593,Coffee Shop
150,Vani Mahal,13.045062,80.24019799999998,Ankur plaza,13.042894828303632,80.24022089367284,Gift Shop
151,Vani Mahal,13.045062,80.24019799999998,Jeeva park,13.04388457817948,80.23760160661628,Park
152,Vani Mahal,13.045062,80.24019799999998,Coal Barbecues,13.046829,80.23704,BBQ Joint
153,Vani Mahal,13.045062,80.24019799999998,The Lotus Service Apartments -  Venkatraman Street,13.042121327962967,80.24275842113484,Hotel
154,Vani Mahal,13.045062,80.24019799999998,Ambur Briyaanis,13.041495504817748,80.23836640561495,Indian Restaurant
155,Vani Mahal,13.045062,80.24019799999998,Kovai  Pazhamudir Cholai,13.045227150150382,80.23609861125213,Fruit & Vegetable Store
156,Vani Mahal,13.045062,80.24019799999998,Grill Box,13.045428775760142,80.23567590302974,BBQ Joint
157,Panagal Park,13.04211,80.23301500000002,New Bombay Halwa House,13.042785946633948,80.23348564609323,Indian Restaurant
